MTX,%XLC,%Na2O,N/TX,kd,Tuoi,Cuongdo
340,50,5.01,0.47,1.62,112,72.31
412,50,5.51,0.388,1.667,112,79.8
276,30.1,4,0.58,1.584,3,6.16
280,40,4.02,0.57,1.58,3,8.57
292,50,3.99,0.548,1.584,3,15.91
314,50,4,0.51,1.601,3,22.01
310,50,4.48,0.516,1.6,3,23.81
340,50,5.01,0.47,1.62,3,34.54
412,50,5.51,0.388,1.667,3,45.75
276,30.1,4,0.58,1.584,7,15.44
280,40,4.02,0.57,1.58,7,20.01
292,50,3.99,0.548,1.584,7,25.52
314,50,4,0.51,1.601,7,32.54
310,50,4.48,0.516,1.6,7,37.64
340,50,5.01,0.47,1.62,7,48.12
412,50,5.51,0.388,1.667,7,58.77
276,30.1,4,0.58,1.584,28,25.01
280,40,4.02,0.57,1.58,28,31.7
292,50,3.99,0.548,1.584,28,36.76
314,50,4,0.51,1.601,28,42.55
310,50,4.48,0.516,1.6,28,50.1
340,50,5.01,0.47,1.62,28,61.99
412,50,5.51,0.388,1.667,28,74.43
276,30.1,4,0.58,1.584,56,30.73
280,40,4.02,0.57,1.58,56,37.49
292,50,3.99,0.548,1.584,56,41.94
314,50,4,0.51,1.601,56,50.07
310,50,4.48,0.516,1.6,56,58.55
340,50,5.01,0.47,1.62,56,72.37
412,50,5.51,0.388,1.667,56,78.11
276,30.1,4,0.58,1.584,112,31.24
280,40,4.02,0.57,1.58,112,38.1
292,50,3.99,0.548,1.584,112,43.38
314,50,4,0.51,1.601,112,50.4
310,50,4.48,0.516,1.6,112,59.58
340,50,5.01,0.47,1.62,112,72.58
412,50,5.51,0.388,1.667,112,80.03
276,30.1,4,0.58,1.584,3,6.17
280,40,4.02,0.57,1.58,3,8.45
292,50,3.99,0.548,1.584,3,15.57
314,50,4,0.51,1.601,3,21.82
310,50,4.48,0.516,1.6,3,23.29
340,50,5.01,0.47,1.62,3,33.91
412,50,5.51,0.388,1.667,3,44.65
276,30.1,4,0.58,1.584,7,15.2
280,40,4.02,0.57,1.58,7,19.63
292,50,3.99,0.548,1.584,7,25.46
314,50,4,0.51,1.601,7,32.28
310,50,4.48,0.516,1.6,7,37.67
340,50,5.01,0.47,1.62,7,48.44
412,50,5.51,0.388,1.667,7,58.29
276,30.1,4,0.58,1.584,28,25.7
280,40,4.02,0.57,1.58,28,31.96
292,50,3.99,0.548,1.584,28,36.33
314,50,4,0.51,1.601,28,42.35
310,50,4.48,0.516,1.6,28,49.89
340,50,5.01,0.47,1.62,28,62.89
412,50,5.51,0.388,1.667,28,74.33
276,30.1,4,0.58,1.584,56,31.02
280,40,4.02,0.57,1.58,56,37.16
292,50,3.99,0.548,1.584,56,42.62
314,50,4,0.51,1.601,56,50.21
310,50,4.48,0.516,1.6,56,59.73
