Cat,Da,XLC,TB,Na2SiO3,NaOH,Nuoc,Tuoi,Cuongdo
732.01,1095.09,175,175,70.85,11.06,114.35,28 ,47.10 
685.9,1081.06,200,200,80.97,12.64,107.83,28 ,58.15 
637.48,1069.38,225,225,91.09,14.21,101.31,28 ,57.29 
859.49,1122.48,125,125,64.82,10.12,118.23,28 ,36.76 
816.07,1103.46,150,150,77.79,12.14,109.88,28 ,55.56 
768.83,1088.33,175,175,90.75,14.16,101.53,28 ,58.64 
720.83,1073.98,200,200,103.72,16.18,93.18,28 ,67.45 
670.01,1062.47,225,225,116.68,18.21,84.82,28 ,73.43 
741.85,1098.15,171.31,171.31,56.64,8.84,123.51,28 ,34.05 
725.66,1093.13,171.31,171.31,123.83,19.32,80.22,28 ,70.62 
629.63,1067.78,225.57,225.57,116.98,18.25,84.63,28 ,72.74 
793.13,1117.28,138.33,138.33,71.73,11.19,113.78,28 ,45.26 
734.09,1095.74,171.31,171.31,88.84,13.86,102.76,28 ,58.01 
818.7,1128.79,125,125,50.61,7.9,127.39,28 ,20.89 
777.05,1110.22,150,150,60.73,9.48,120.87,28 ,34.20 
732.01,1095.09,175,175,70.85,11.06,114.35,28 ,44.00 
685.9,1081.06,200,200,80.97,12.64,107.83,28 ,60.71 
637.48,1069.38,225,225,91.09,14.21,101.31,28 ,60.18 
859.49,1122.48,125,125,64.82,10.12,118.23,28 ,38.91 
816.07,1103.46,150,150,77.79,12.14,109.88,28 ,54.18 
768.83,1088.33,175,175,90.75,14.16,101.53,28 ,61.61 
720.83,1073.98,200,200,103.72,16.18,93.18,28 ,68.31 
670.01,1062.47,225,225,116.68,18.21,84.82,28 ,70.78 
741.85,1098.15,171.31,171.31,56.64,8.84,123.51,28 ,37.31 
725.66,1093.13,171.31,171.31,123.83,19.32,80.22,28 ,68.42 
629.63,1067.78,225.57,225.57,116.98,18.25,84.63,28 ,71.32 
793.13,1117.28,138.33,138.33,71.73,11.19,113.78,28 ,44.89 
734.09,1095.74,171.31,171.31,88.84,13.86,102.76,28 ,60.93 
793,1117,83,193,55.9,8.7,124,3 ,6.03 
